id,rpm,motor_power,torque,outlet_pressure_bar,air_flow,noise_db,outlet_temp,wpump_outlet_press,water_inlet_temp,water_outlet_temp,wpump_power,water_flow,oilpump_power,oil_tank_temp,gaccx,gaccy,gaccz,haccx,haccy,haccz,bearings,wpump,radiator,exvalve,acmotor
1,499,1405.842858,27.51170834,1.000,308.2898788,40.84051681,78.55471462,2.960632487,43.16639156,47.25923766,216.6105061,59.0850591,300.3729213,45.80617755,0.711820164,0.383772955,2.649800567,1.213344407,1.409218131,2.962483674,Ok,Ok,Clean,Clean,Stable
2,513,1457.370092,31.03011475,1.081,307.833736,40.48422638,76.90282202,2.53671098,47.34214343,55.02565326,215.3975261,59.16193851,301.3916047,45.82538442,0.704667093,0.450953581,2.669423257,1.210673873,1.37905049,2.938134528,Ok,Ok,Clean,Clean,Stable
3,495,1582.249959,33.48465322,1.369,307.3775932,40.91857209,77.54702101,2.112789473,49.30659254,50.50562183,214.1607112,59.04193931,300.9733763,45.84473004,0.704827856,0.443923943,2.772008774,1.210612292,1.373489766,2.991877568,Ok,Ok,Clean,Clean,Stable
4,480,1712.46682,36.39447513,1.691,306.9752484,40.45095335,80.059949,2.087534383,46.88693335,58.70637581,215.8168373,59.03717646,300.3556304,45.81704614,0.726603681,0.37045681,2.876056133,1.213223195,1.443234004,3.09615821,Ok,Ok,Clean,Clean,Stable
5,498,1766.03517,38.24915396,1.731,306.8321319,41.23373887,79.13042388,2.33887668,50.49810018,54.04636195,214.6855904,59.16415361,300.4405684,45.81763956,0.707785078,0.383868437,2.84945089,1.209215944,1.405189809,3.059416549,Ok,Ok,Clean,Clean,Stable
6,487,1843.928137,40.18909672,1.936,306.5320197,41.10906336,83.39203234,1.985778426,46.9406646,58.66464204,214.6570008,59.08675164,301.3508215,45.83955595,0.71202825,0.378710554,2.946855512,1.214552079,1.414600559,3.117988779,Ok,Ok,Clean,Clean,Stable
7,503,1885.584836,36.95616972,1.949,306.4273775,41.5159829,84.00256718,2.43876035,51.04668555,58.96378042,216.9165191,59.00052942,299.8950539,45.82111985,0.717091004,0.381455792,2.923143957,1.216701019,1.421078739,3.105228737,Ok,Ok,Clean,Clean,Stable
8,489,1877.196074,38.21923059,1.985,306.0043583,41.27132984,82.95671672,2.626949563,48.60412199,60.83980822,215.6595862,58.94863,300.8304495,45.86561504,0.717805491,0.406795512,2.978854391,1.206192968,1.442207055,3.134726445,Ok,Ok,Clean,Clean,Stable
9,481,1957.281581,41.06024375,2.189,305.6275316,40.490259,83.63655306,2.267803673,43.70840054,59.34064705,216.7284024,59.05579361,300.0945766,45.83518128,0.7166639,0.414652262,3.084228753,1.227133672,1.461808667,3.207706609,Ok,Ok,Clean,Clean,Stable
10,481,1960.768488,39.5765725,2.192,305.3540754,41.72619525,82.37408824,2.095710322,52.08711431,62.38725133,216.4190501,59.08607111,300.4297222,45.83476145,0.72561855,0.403084289,3.084229565,1.209491016,1.390070276,3.163669822,Ok,Ok,Clean,Clean,Stable
11,514,2091.282562,40.04531207,2.311,305.1976036,41.48659372,82.62047135,1.933256319,54.09586106,59.85043384,217.9799968,59.03467021,300.855376,45.94759566,0.706777215,0.450864048,3.085689748,1.202342169,1.358362856,3.131063335,Ok,Ok,Clean,Clean,Stable
12,487,2154.268352,45.30870014,2.563,305.1298732,41.46083488,83.50940592,2.664718851,48.97927726,60.54741024,216.0778211,58.92287107,299.6434131,45.85752254,0.718307355,0.437223536,3.261346735,1.22367911,1.374209476,3.243404342,Ok,Ok,Clean,Clean,Stable
13,491,2182.219644,44.84862247,2.605,304.7710844,40.42433981,85.66937794,2.368830654,52.33782053,61.72835969,214.2158652,59.04561483,300.0726848,45.88366349,0.715608287,0.379296301,3.244431871,1.20856944,1.448723614,3.27896931,Ok,Ok,Clean,Clean,Stable
