rpm,motor_power,torque,noise_db,wpump_outlet_press,water_inlet_temp,water_outlet_temp,wpump_power,water_flow,oil_tank_temp,bearings,wpump,radiator,exvalve,air_flow,outlet_pressure_bar,outlet_temp
499,1405.842858,27.51170834,40.84051681,2.960632487,43.16639156,47.25923766,216.6105061,59.0850591,45.80617755,0,0,0,0,616.5797576,1,78.55471462
513,1457.370092,31.03011475,40.48422638,2.53671098,47.34214343,55.02565326,215.3975261,59.16193851,45.82538442,0,0,0,0,615.667472,1.081,76.90282202
495,1582.249959,33.48465322,40.91857209,2.112789473,49.30659254,50.50562183,214.1607112,59.04193931,45.84473004,0,0,0,0,614.7551864,1.369,77.54702101
480,1712.46682,36.39447513,40.45095335,2.087534383,46.88693335,58.70637581,215.8168373,59.03717646,45.81704614,0,0,0,0,613.9504968,1.691,80.059949
498,1766.03517,38.24915396,41.23373887,2.33887668,50.49810018,54.04636195,214.6855904,59.16415361,45.81763956,0,0,0,0,613.6642638,1.731,79.13042388
487,1843.928137,40.18909672,41.10906336,1.985778426,46.9406646,58.66464204,214.6570008,59.08675164,45.83955595,0,0,0,0,613.0640394,1.936,83.39203234
503,1885.584836,36.95616972,41.5159829,2.43876035,51.04668555,58.96378042,216.9165191,59.00052942,45.82111985,0,0,0,0,612.854755,1.949,84.00256718
489,1877.196074,38.21923059,41.27132984,2.626949563,48.60412199,60.83980822,215.6595862,58.94863,45.86561504,0,0,0,0,612.0087166,1.985,82.95671672
481,1957.281581,41.06024375,40.490259,2.267803673,43.70840054,59.34064705,216.7284024,59.05579361,45.83518128,0,0,0,0,611.2550632,2.189,83.63655306
481,1960.768488,39.5765725,41.72619525,2.095710322,52.08711431,62.38725133,216.4190501,59.08607111,45.83476145,0,0,0,0,610.7081508,2.192,82.37408824
514,2091.282562,40.04531207,41.48659372,1.933256319,54.09586106,59.85043384,217.9799968,59.03467021,45.94759566,0,0,0,0,610.3952072,2.311,82.62047135
487,2154.268352,45.30870014,41.46083488,2.664718851,48.97927726,60.54741024,216.0778211,58.92287107,45.85752254,0,0,0,0,610.2597464,2.563,83.50940592
491,2182.219644,44.84862247,40.42433981,2.368830654,52.33782053,61.72835969,214.2158652,59.04561483,45.88366349,0,0,0,0,609.5421688,2.605,85.66937794
493,2247.83226,45.67000201,40.50476577,2.596848928,55.16628447,62.0326462,215.9976059,58.85991101,45.91672206,0,0,0,0,608.5755582,2.728,84.94484277
500,2287.264572,44.82738933,41.39614713,2.369047193,49.0049704,57.68264761,215.1946022,59.01502304,45.91607026,0,0,0,0,608.4583904,2.768,88.65057425
520,2365.234481,47.77374859,42.08726059,2.502474936,54.53032871,69.09845517,217.199377,58.98663649,45.9199946,0,0,0,0,607.529849,2.812,87.46029404
517,2528.387645,50.80831721,42.87469042,2.522190889,57.1050217,59.05877566,215.6681095,58.95741663,45.86485764,0,0,0,0,606.7506062,3.138,88.17564774
497,2482.991985,51.008499,39.99023955,1.894218111,52.95789828,63.41147368,218.5562911,58.84694333,45.98193296,0,0,0,0,606.7366948,3.18,90.02343237
499,2517.822349,48.97078968,42.70558327,2.527804918,57.10812769,61.08529383,218.2461408,59.01194209,45.97617036,0,0,0,0,606.1912108,3.232,87.72808043
515,2639.245137,50.26904579,40.88429156,2.184558455,53.76113617,60.79362033,215.4696249,58.81630375,45.92080574,0,0,0,0,605.3627768,3.373,89.66963092
487,2600.936031,52.73840042,40.44102067,2.098385701,52.15918481,68.38603013,215.5074391,58.89019213,45.97015079,0,0,0,0,604.3929822,3.489,88.32995171
484,2748.491491,55.50306442,42.33501528,2.196005409,61.01607512,63.06003939,216.4003797,58.85780764,45.96742816,0,0,0,0,604.1485788,3.805,89.60860107
499,2907.767162,59.11908915,41.51596648,2.755825098,56.67467311,69.38035535,219.0191979,58.82622731,45.9972064,0,0,0,0,604.1332392,4.011,93.72420066
519,3057.346593,60.74624247,41.59282223,1.920876643,58.3298091,74.28305631,220.407324,58.78560602,45.95497307,0,0,0,0,603.9611228,4.15,94.5375794
504,3073.175475,59.05356853,41.51096013,2.704442458,58.51641023,66.29293465,217.1108748,58.9088747,46.00290651,0,0,0,0,603.1463244,4.298,96.55791787
511,3102.176151,59.94363704,41.93102036,2.101107992,57.64580639,67.64515335,216.5804435,58.8282938,45.95519563,0,0,0,0,602.7257966,4.305,93.55442514
486,3068.064062,63.04994628,42.232812,2.322481562,62.19025321,70.95334537,218.3097972,58.89672972,45.92725405,0,0,0,0,601.9217604,4.458,96.63610435
519,3343.949716,62.46944488,41.18664836,2.415553862,58.68301042,74.05827679,217.6239423,58.66167729,45.96285498,0,0,0,0,600.9458286,4.702,94.59973297
499,3295.133032,65.65705655,43.83011576,2.286001522,60.61653153,75.26937218,219.0481409,58.79419745,46.08073681,0,0,0,0,600.8730536,4.797,97.88811204
507,3353.547507,63.3537573,40.69555063,2.514491436,64.33683163,74.87175437,218.8163341,58.83229933,45.97519843,0,0,0,0,600.7431642,4.826,95.67248974
519,3540.245236,65.7323149,40.84450665,2.992079101,67.68257946,68.50914363,220.7241518,58.68404393,46.02134567,0,0,0,0,600.3739806,5.081,96.98733285
506,3558.795547,70.24487996,42.69870423,2.979565586,61.40539716,77.31789423,219.3355043,58.77037679,46.04992931,0,0,0,0,600.1565128,5.249,100.7936137
503,3653.238888,73.38737813,41.07749961,2.13216218,62.87141143,78.01400107,217.7014821,58.60691067,45.99592217,0,0,0,0,599.6411354,5.468,98.10394676
506,3803.815172,76.46071584,45.41681996,2.33765646,62.48973007,74.41122881,217.2078576,58.62685746,46.04821753,0,0,0,0,598.9191488,5.727,101.5377561
507,3923.399868,77.10048835,44.26782869,2.298052456,66.16259139,75.69103709,217.1068614,58.58900281,46.04861886,0,0,0,0,597.9995668,5.956,104.428863
489,3918.351115,80.04373116,41.37911301,2.279407171,70.78323231,80.31071579,217.3688738,58.58030033,46.04465439,0,0,0,0,597.9770316,6.167,105.3707421
503,4116.520021,79.55649206,45.30573555,2.661306624,67.63395775,78.62808627,221.9905847,58.66189867,46.05458684,0,0,0,0,597.5994428,6.39,103.6020847
