id,rpm,motor_power,torque,outlet_pressure_bar,air_flow,noise_db,outlet_temp,wpump_outlet_press,water_inlet_temp,water_outlet_temp,wpump_power,water_flow,oilpump_power,oil_tank_temp,gaccx,gaccy,gaccz,haccx,haccy,haccz,bearings,wpump,radiator,exvalve,acmotor
1,499,1405.842858,27.51170834,1.0,616.5797576,40.84051681,78.55471462,2.960632487,43.16639156,47.25923766,216.6105061,59.0850591,300.3729213,45.80617755,0.711820164,0.383772955,2.649800567,1.213344407,1.409218131,2.962483674,0,0,0,0,0
2,513,1457.370092,31.03011475,1.081,615.667472,40.48422638,76.90282202,2.53671098,47.34214343,55.02565326,215.3975261,59.16193851,301.3916047,45.82538442,0.704667093,0.450953581,2.669423257,1.210673873,1.37905049,2.938134528,0,0,0,0,0
3,495,1582.249959,33.48465322,1.369,614.7551864,40.91857209,77.54702101,2.112789473,49.30659254,50.50562183,214.1607112,59.04193931,300.9733763,45.84473004,0.704827856,0.443923943,2.772008774,1.210612292,1.373489766,2.991877568,0,0,0,0,0
4,480,1712.46682,36.39447513,1.691,613.9504968,40.45095335,80.059949,2.087534383,46.88693335,58.70637581,215.8168373,59.03717646,300.3556304,45.81704614,0.726603681,0.37045681,2.876056133,1.213223195,1.443234004,3.09615821,0,0,0,0,0
5,498,1766.03517,38.24915396,1.731,613.6642638,41.23373887,79.13042388,2.33887668,50.49810018,54.04636195,214.6855904,59.16415361,300.4405684,45.81763956,0.707785078,0.383868437,2.84945089,1.209215944,1.405189809,3.059416549,0,0,0,0,0
6,487,1843.928137,40.18909672,1.936,613.0640394,41.10906336,83.39203234,1.985778426,46.9406646,58.66464204,214.6570008,59.08675164,301.3508215,45.83955595,0.71202825,0.378710554,2.946855512,1.214552079,1.414600559,3.117988779,0,0,0,0,0
7,503,1885.584836,36.95616972,1.949,612.854755,41.5159829,84.00256718,2.43876035,51.04668555,58.96378042,216.9165191,59.00052942,299.8950539,45.82111985,0.717091004,0.381455792,2.923143957,1.216701019,1.421078739,3.105228737,0,0,0,0,0
8,489,1877.196074,38.21923059,1.985,612.0087166,41.27132984,82.95671672,2.626949563,48.60412199,60.83980822,215.6595862,58.94863,300.8304495,45.86561504,0.717805491,0.406795512,2.978854391,1.206192968,1.442207055,3.134726445,0,0,0,0,0
9,481,1957.281581,41.06024375,2.189,611.2550632,40.490259,83.63655306,2.267803673,43.70840054,59.34064705,216.7284024,59.05579361,300.0945766,45.83518128,0.7166639,0.414652262,3.084228753,1.227133672,1.461808667,3.207706609,0,0,0,0,0
10,481,1960.768488,39.5765725,2.192,610.7081508,41.72619525,82.37408824,2.095710322,52.08711431,62.38725133,216.4190501,59.08607111,300.4297222,45.83476145,0.72561855,0.403084289,3.084229565,1.209491016,1.390070276,3.163669822,0,0,0,0,0
11,514,2091.282562,40.04531207,2.311,610.3952072,41.48659372,82.62047135,1.933256319,54.09586106,59.85043384,217.9799968,59.03467021,300.855376,45.94759566,0.706777215,0.450864048,3.085689748,1.202342169,1.358362856,3.131063335,0,0,0,0,0
12,487,2154.268352,45.30870014,2.563,610.2597464,41.46083488,83.50940592,2.664718851,48.97927726,60.54741024,216.0778211,58.92287107,299.6434131,45.85752254,0.718307355,0.437223536,3.261346735,1.22367911,1.374209476,3.243404342,0,0,0,0,0
13,491,2182.219644,44.84862247,2.605,609.5421688,40.42433981,85.66937794,2.368830654,52.33782053,61.72835969,214.2158652,59.04561483,300.0726848,45.88366349,0.715608287,0.379296301,3.244431871,1.20856944,1.448723614,3.27896931,0,0,0,0,0
14,493,2247.83226,45.67000201,2.728,608.5755582,40.50476577,84.94484277,2.596848928,55.16628447,62.0326462,215.9976059,58.85991101,300.4817525,45.91672206,0.721706744,0.403628304,3.320801836,1.204313355,1.390447448,3.277867436,0,0,0,0,0
15,500,2287.264572,44.82738933,2.768,608.4583904,41.39614713,88.65057425,2.369047193,49.0049704,57.68264761,215.1946022,59.01502304,300.2301915,45.91607026,0.705629536,0.379436434,3.308473125,1.204344792,1.384328907,3.277306919,0,0,0,0,0
16,520,2365.234481,47.77374859,2.812,607.529849,42.08726059,87.46029404,2.502474936,54.53032871,69.09845517,217.199377,58.98663649,301.0258218,45.9199946,0.703285666,0.365222403,3.28666923,1.207368456,1.384017125,3.268054235,0,0,0,0,0
17,517,2528.387645,50.80831721,3.138,606.7506062,42.87469042,88.17564774,2.522190889,57.1050217,59.05877566,215.6681095,58.95741663,300.0934873,45.86485764,0.699634313,0.38894404,3.495815952,1.197553363,1.369275628,3.355889682,0,0,0,0,0
18,497,2482.991985,51.008499,3.18,606.7366948,39.99023955,90.02343237,1.894218111,52.95789828,63.41147368,218.5562911,58.84694333,300.3104126,45.98193296,0.706146366,0.360843791,3.550857244,1.214181114,1.370455642,3.401603082,0,0,0,0,0
19,499,2517.822349,48.97078968,3.232,606.1912108,42.70558327,87.72808043,2.527804918,57.10812769,61.08529383,218.2461408,59.01194209,300.0785875,45.97617036,0.713289277,0.376568544,3.591241558,1.207009757,1.45294995,3.453336578,0,0,0,0,0
